"Features","Dilution","SampleType","Condition","Day","ZT","Sample","Gluconapin","Glucobrassicanapin_Sm","Glucobrassicanapin_Lg","Glucoerucin_Sm","Glucoerucin_Lg","Glucobrassicin","Glucoalyssin","Neoglucobrassicin_Lg","Neoglucobrassicin_Sm","Glutamate","RaphanusamicAcid","Sucrose","Glutamine","VisRegion","MOPs","2D_Norm","Sinigrin","Rep"
"Fourth_Initial_LD_Day2_ZT20_146","Fourth","Initial","LD","Day2","ZT20","146","1.808407e+08","0.000000e+00","6.725090e+05","9.148216e+03","0.000000e+00","3.138322e+06","8.174866e+05","2.158343e+06","1.450426e+04","2.631328e+07","1.236041e+06","4.784524e+07","5.941978e+06","1.192122e+07","3.882662e+08","1.192122e+07","3.879871e+05","Rep1"
"Fourth_Initial_LD_Day1_ZT0_79","Fourth","Initial","LD","Day1","ZT0","79","        0.00","        0.00","        0.00","        0.00","    79541.20","        0.00","        0.00","    79267.91","        0.00"," 14613433.00","   984260.19","   366714.09","  3882763.50","    56996.44","396299648.00","   902932.75","        0.00","Rep1"
"Fourth_Initial_LD_Day3_ZT0_152","Fourth","Initial","LD","Day3","ZT0","152"," 92444392.00","    67217.53","   405703.84","        0.00","    52453.69","   609881.69","   224389.95","   647842.88","    13358.00"," 10812764.00","   411601.06"," 37696204.00","  3379784.00","  2484395.50","408612096.00","  5606213.00","   183754.11","Rep1"
"Fourth_Initial_LL_Day1_ZT0_391","Fourth","Initial","LL","Day1","ZT0","391"," 98624736.00","        0.00","   317256.25","        0.00","    12858.39","  3436435.00","   157007.59","  1760581.12","    42219.88","  7541980.50","   601293.62","111699384.00","  1476012.62","  1506789.00","824291008.00"," 18818614.00","   116715.27","Rep1"
"Fourth_Initial_LL_Day2_ZT0_427","Fourth","Initial","LL","Day2","ZT0","427","134658480.00","        0.00","   303845.75","        0.00","        0.00","   113221.57","    81490.88","   735147.81","        0.00","  5956212.50","   176366.92"," 89745104.00","  2006530.12","   534502.69","431458528.00","  6856214.00","   144399.34","Rep1"
"Fourth_Initial_LL_Day1_ZT8_403","Fourth","Initial","LL","Day1","ZT8","403","47419648.00","       0.00","  145401.89","       0.00","   28442.27","  100009.96","   31094.85"," 1044268.62","       0.00","12819376.00","  164223.72","66687224.00"," 1514942.62","  421357.88","83463744.00"," 5025545.00","  131133.48","Rep1"
"Fourth_Initial_LL_Day1_ZT4_397","Fourth","Initial","LL","Day1","ZT4","397","6.438758e+07","3.107828e+04","3.067365e+05","0.000000e+00","9.777893e+03","8.209743e+05","5.965677e+04","2.127836e+06","2.952751e+04","5.372802e+06","2.582470e+05","7.768054e+07","1.456172e+06","3.742514e+06","8.066598e+08","1.594527e+07","1.388428e+05","Rep1"
"Fourth_Initial_LL_Day1_ZT20_421","Fourth","Initial","LL","Day1","ZT20","421","160983744.00","        0.00","   232008.83","        0.00","    13774.37","  4850299.00","   163633.72","  4698322.00","   169865.89","  9377775.00","   734810.44","125378352.00","  1564539.38","  1977583.38","923266880.00"," 26767124.00","   194833.38","Rep1"
"Fourth_Initial_LL_Day1_ZT16_415","Fourth","Initial","LL","Day1","ZT16","415","  2505163.00","        0.00","    29803.91","        0.00","        0.00","        0.00","     3343.47","    13928.12","        0.00","   287713.41","        0.00","  3213782.75","    70893.99","   146604.00","122597576.00","  5660832.00","        0.00","Rep1"
"Fourth_Initial_LL_Day1_ZT12_409","Fourth","Initial","LL","Day1","ZT12","409"," 52302580.00","        0.00","   129403.91","        0.00","        0.00","   148483.52","    18596.54","  1220674.25","    19927.90","  5389080.50","   154785.72"," 52451084.00","   513848.84","   389849.44","405738752.00","  5929871.00","    83210.28","Rep1"
"Fourth_Initial_LL_Day2_ZT4_433","Fourth","Initial","LL","Day2","ZT4","433"," 97123352.00","        0.00","   377041.53","        0.00","    15118.93","   277488.28","    86466.02","  1612070.75","        0.00","  7124913.00","   286268.50"," 72001976.00","  2064880.50"," 10021895.00","336745024.00"," 10021895.00","   156185.83","Rep1"
"Fourth_Initial_LL_Day2_ZT20_67","Fourth","Initial","LL","Day2","ZT20","67"," 73728440.00","        0.00","   205474.31","        0.00","    11070.31","   693517.69","    38826.68","  1944883.00","    21622.31","  4621823.00","   366848.38","148879664.00","   807976.38","  1215911.25","804051456.00"," 16858314.00","    89646.77","Rep1"
"Fourth_Initial_LL_Day2_ZT16_451","Fourth","Initial","LL","Day2","ZT16","451","104604736.00","        0.00","   544956.94","        0.00","    41829.16","   419395.03","    79319.31","  1674062.00","        0.00","  9240581.00","   214951.16"," 66210884.00","  2460983.50","   372230.22","376575680.00","  5571815.00","   264101.09","Rep1"
"Fourth_Initial_LL_Day2_ZT12_445","Fourth","Initial","LL","Day2","ZT12","445"," 68667960.00","        0.00","   197267.94","        0.00","    10516.69","   305073.41","    18984.11","  1906844.38","    16269.22","  3968409.75","   203340.45"," 75741344.00","   716706.06","   469711.25","377502176.00","  7024438.00","   110354.07","Rep1"
"Fourth_Wounded_LD_Day1_ZT20_343","Fourth","Wounded","LD","Day1","ZT20","343","7.942338e+07","9.682389e+03","1.560850e+05","1.721396e+04","0.000000e+00","2.003547e+06","3.160560e+05","1.030873e+06","3.533545e+04","1.407431e+07","7.699991e+05","3.600252e+07","2.927985e+06","4.261322e+05","4.844673e+08","8.259351e+06","1.594941e+05","Rep1"
"Sixteenth_AllSamps_Batch1_Pools_AllZTs_Tech2","Sixteenth","AllSamps","Batch1","Pools","AllZTs","Tech2","9.283001e+07","0.000000e+00","3.843322e+05","7.444709e+03","3.325384e+04","9.400641e+05","1.934640e+05","1.100865e+06","2.621547e+04","1.008134e+07","5.313034e+05","4.944704e+07","2.778014e+06","9.557472e+05","2.877361e+08","6.412490e+06","1.647321e+05","Rep1"
"Sixteenth_Initial_LD_Pools_AllZTs_Alldiel","Sixteenth","Initial","LD","Pools","AllZTs","Alldiel"," 58599984.00","        0.00","   307684.94","    13048.31","    70495.35","  1816050.50","   377668.50","  1143127.62","    15520.08"," 16644311.00","   569497.12"," 43106368.00","  4142222.75","  3940580.50","373228704.00","  6000904.00","   131759.95","Rep1"
"Fourth_Wounded_LD_Day1_ZT16_337","Fourth","Wounded","LD","Day1","ZT16","337"," 84605632.00","        0.00","   244700.86","    44310.91","    54208.37","  2904597.25","   653566.38","  1064625.62","    20213.81","  7819246.00","   806661.62"," 70376648.00","  3679845.75","   777797.88","617867520.00"," 18802388.00","   155022.55","Rep1"
"Fourth_Wounded_LD_Day1_ZT12_331","Fourth","Wounded","LD","Day1","ZT12","331"," 83168584.00","    12175.76","   243878.72","        0.00","    43610.54","  1128809.12","   388072.34","   725499.94","    22194.15","  8888260.00","   634146.31"," 59233176.00","  7924877.00","   365600.31","421920640.00","  5933161.50","   162197.62","Rep1"
"Fourth_Wounded_LD_Day1_ZT0_1","Fourth","Wounded","LD","Day1","ZT0","1","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","4.405562e+04","0.000000e+00","0.000000e+00","5.597698e+03","0.000000e+00","9.524511e+06","8.715889e+05","2.886781e+05","1.909722e+06","2.970866e+04","3.708735e+08","1.127934e+06","0.000000e+00","Rep1"
"Sixteenth_Wounded_LD_Pools_AllZTs_Alldiel","Sixteenth","Wounded","LD","Pools","AllZTs","Alldiel","103376856.00","        0.00","   398769.06","    27687.54","    23613.74","  2277291.75","   556845.88","  1071121.62","    72693.60","  9067696.00","  1170137.88"," 57235544.00","  3468784.50","  1319067.25","912777920.00"," 30052460.00","   161038.98","Rep1"
"Sixteenth_AllSamps_Batch1_Pools_AllZTs_Tech3","Sixteenth","AllSamps","Batch1","Pools","AllZTs","Tech3","6.820670e+07","0.000000e+00","3.327424e+05","8.368205e+03","3.736832e+04","8.526925e+05","1.824284e+05","9.164359e+05","1.170206e+04","8.457460e+06","4.997027e+05","4.625993e+07","2.509519e+06","8.973754e+05","2.711664e+08","5.627949e+06","1.346354e+05","Rep1"
"Sixteenth_AllSamps_Batch1_Pools_AllZTs_Tech1","Sixteenth","AllSamps","Batch1","Pools","AllZTs","Tech1","1.083452e+08","0.000000e+00","4.137195e+05","8.469362e+03","1.663316e+04","1.363654e+06","2.634279e+05","1.787795e+06","3.616212e+04","7.814785e+06","5.846974e+05","6.804533e+07","2.364132e+06","2.527995e+06","4.450612e+08","1.408582e+07","1.439775e+05","Rep1"
"Sixteenth_Initial_LL_Pools_AllZTs_AllcircadianTech1","Sixteenth","Initial","LL","Pools","AllZTs","AllcircadianTech1"," 65678488.00","        0.00","   309002.28","        0.00","    16925.45","   467299.28","    47444.66","  1252754.25","    19664.29","  5853579.00","   194691.12"," 62430788.00","  1316401.25","   543125.88","357733984.00","  5995349.00","   106712.45","Rep1"
"Sixteenth_Wounded_LL_Pools_AllZTs_Allcircadian","Sixteenth","Wounded","LL","Pools","AllZTs","Allcircadian"," 89750440.00","        0.00","   384005.62","        0.00","    20325.01","   711123.69","    63944.76","  1652733.12","    17858.99","  6549934.00","   223988.33"," 72728112.00","  1026023.69","   364620.28","363700096.00","  5390213.50","   156152.92","Rep1"
"Fourth_Initial_LL_Day2_ZT8_439","Fourth","Initial","LL","Day2","ZT8","439"," 53139068.00","        0.00","   175246.02","        0.00","    11965.46","   150725.50","    33902.23","  1681319.88","        0.00","  5518320.00","   145922.09"," 46646512.00","   523025.19","   261800.86","339187328.00","  4494537.00","    68412.87","Rep1"
"Fourth_Wounded_LD_Day1_ZT4_319","Fourth","Wounded","LD","Day1","ZT4","319","102988832.00","        0.00","   212010.50","    34541.68","    95209.98","  1922404.25","   624447.56","   803257.69","    44483.17","  9456735.00","  1560558.50"," 48735032.00","  6008649.50","   779449.19","747624128.00"," 12741795.00","   187280.11","Rep1"
"Fourth_Wounded_LD_Day1_ZT8_325","Fourth","Wounded","LD","Day1","ZT8","325","1.004298e+08","0.000000e+00","2.107209e+05","5.917984e+03","2.179142e+04","2.256214e+06","1.570195e+05","7.669928e+05","5.838911e+04","1.429684e+07","8.012305e+05","3.268149e+07","3.700490e+06","3.451669e+05","3.852945e+08","9.355100e+06","1.087613e+05","Rep1"
"Fourth_Wounded_LL_Day1_ZT16_25","Fourth","Wounded","LL","Day1","ZT16","25","127251200.00","        0.00","   694285.75","        0.00","    17278.11","   121618.15","    62086.01","   823208.75","        0.00","  9066711.00","   260561.83"," 87214376.00","   842378.94","   565769.38","406373024.00","  7993232.50","   205717.53","Rep1"
"Fourth_Wounded_LD_Day3_ZT0_385","Fourth","Wounded","LD","Day3","ZT0","385","124844112.00","        0.00","   583812.12","    32377.23","    25243.31","   501729.06","   956313.31","   459341.03","    21716.97","  8591840.00","  1061029.12"," 35932016.00","  1708470.50","   406009.16","369341568.00","  6785054.00","   201385.50","Rep1"
"Fourth_Wounded_LL_Day1_ZT12_19","Fourth","Wounded","LL","Day1","ZT12","19"," 58832992.00","    33962.95","    69343.36","        0.00","    15702.04","   311991.22","    33306.17","  1236470.12","    64416.54","  6453088.00","   334026.03"," 69288224.00","   722898.44","   378892.72","380275168.00","  5431132.50","   115126.77","Rep1"
"Fourth_Wounded_LD_Day2_ZT8_361","Fourth","Wounded","LD","Day2","ZT8","361","8.822333e+07","1.099290e+04","3.742204e+05","9.230615e+03","6.243759e+04","2.602938e+06","3.573205e+05","1.132197e+06","3.490662e+05","9.803939e+06","8.484235e+05","6.491179e+07","4.579342e+06","1.254503e+06","9.382234e+08","2.156111e+07","2.275959e+05","Rep1"
"Fourth_Wounded_LD_Day2_ZT4_355","Fourth","Wounded","LD","Day2","ZT4","355","161873120.00","        0.00","   446478.34","    47656.98","    22602.91","  2773499.25","  1175348.00","  1631079.25","    19295.90"," 12710314.00","  2333539.00"," 85056632.00","  3663157.25","  2170015.75","767898048.00"," 30516074.00","   253404.31","Rep1"
"Fourth_Wounded_LD_Day2_ZT16_373","Fourth","Wounded","LD","Day2","ZT16","373"," 91729400.00","        0.00","   180558.41","    10278.94","    25783.32","  3111642.25","   449233.53","  1001577.44","    15446.39","  9706651.00","   779646.56"," 59300336.00","  3375507.75","   935133.06","719523840.00"," 19667352.00","   138273.72","Rep1"
"Fourth_Wounded_LD_Day2_ZT20_379","Fourth","Wounded","LD","Day2","ZT20","379"," 51400732.00","        0.00","   111409.15","        0.00","    67797.91","  1012665.44","   142136.05","   472815.69","    75685.12","  9383369.00","   344180.62"," 28695464.00","  2649498.25","   330906.38","424429120.00","  5082660.00","   101451.51","Rep1"
"Fourth_Wounded_LL_Day1_ZT0_313","Fourth","Wounded","LL","Day1","ZT0","313","109777024.00","        0.00","   210140.62","        0.00","    20988.02","  4913171.00","   183819.61","  1887899.38","    29204.99"," 10598854.00","   481240.69"," 84472576.00","  1255291.00","   423467.78","350383552.00","  6081080.50","   178564.36","Rep1"
"Fourth_Wounded_LD_Day2_ZT12_367","Fourth","Wounded","LD","Day2","ZT12","367","2.792814e+07","0.000000e+00","7.434050e+04","6.813442e+03","0.000000e+00","7.937038e+05","6.231820e+04","3.407779e+05","0.000000e+00","3.183853e+06","1.056139e+05","2.599865e+07","4.041182e+05","2.866974e+05","3.370402e+08","3.229206e+06","4.974919e+04","Rep1"
"Fourth_Wounded_LD_Day2_ZT0_349","Fourth","Wounded","LD","Day2","ZT0","349"," 38811212.00","    10996.87","   135814.22","        0.00","    18683.98","   666314.25","   230512.69","   479973.47","        0.00","  8957217.00","   368669.38"," 46929988.00","  3182101.25","   331301.00","421291584.00","  5543833.00","   100451.66","Rep1"
"Fourth_Wounded_LL_Day1_ZT20_31","Fourth","Wounded","LL","Day1","ZT20","31","8.024060e+07","2.471581e+04","2.405007e+05","5.482579e+03","3.074183e+04","2.342592e+06","9.190092e+04","1.813346e+06","2.186209e+04","7.527584e+06","3.153733e+05","8.737359e+07","1.443850e+06","4.713763e+05","3.457255e+08","7.191139e+06","9.400069e+04","Rep1"
"Fourth_Wounded_LL_Day1_ZT8_13","Fourth","Wounded","LL","Day1","ZT8","13"," 41870696.00","        0.00","   107054.26","        0.00","    52549.80","    51944.38","    18760.42","   892270.81","        0.00"," 10465769.00","   225177.12"," 56780848.00","  2318178.75","   419605.75","364759968.00","  5217913.50","    74484.96","Rep1"
"Sixteenth_AllSamps_Batch1_Pools_AllZTs_Tech1","Sixteenth","AllSamps","Batch1","Pools","AllZTs","Tech1"," 27084492.00","        0.00","   125400.38","        0.00","        0.00","   359982.03","    92416.42","   419480.69","    17690.41","  2373969.50","   129658.09"," 34351128.00","  1896800.25","   369703.47","292398176.00","  2703079.50","    51828.10","Rep1"
"Fourth_Wounded_LL_Day3_ZT0_73","Fourth","Wounded","LL","Day3","ZT0","73","9.088442e+07","3.114255e+04","2.069371e+05","0.000000e+00","8.138497e+03","2.250832e+05","1.002375e+04","3.114141e+06","2.109351e+04","3.542454e+06","4.468063e+05","1.466561e+08","5.346419e+05","1.203347e+06","7.286084e+08","1.199491e+07","1.287966e+05","Rep1"
"Fourth_Wounded_LL_Day2_ZT0_37","Fourth","Wounded","LL","Day2","ZT0","37","234867472.00","        0.00","  1068981.88","        0.00","    34631.32","   142438.83","   118803.80","  1887740.88","        0.00","  8219366.00","   469601.44","168706416.00","  1890244.75","   640622.62","625752896.00"," 16404041.00","   254985.47","Rep1"
"Fourth_Wounded_LL_Day1_ZT4_7","Fourth","Wounded","LL","Day1","ZT4","7"," 39473520.00","        0.00","   116700.29","        0.00","    24352.74","   312596.84","    31036.48","  1542865.75","    14616.63","  5901135.00","   171093.12"," 59047472.00","  1515031.00","   288925.94","490954144.00","  5311550.50","    71279.23","Rep1"
"Sixteenth_AllSamps_Batch1_Pools_AllZTs_Tech2","Sixteenth","AllSamps","Batch1","Pools","AllZTs","Tech2"," 32047186.00","        0.00","   148086.83","        0.00","        0.00","   427954.16","    89421.24","   511088.06","    15474.35","  2341336.75","   178265.30"," 34647876.00","  1456912.12","   532374.69","260341520.00","  3913719.25","    60205.50","Rep1"
"Sixteenth_AllSamps_Batch1_Pools_AllZTs_Tech3","Sixteenth","AllSamps","Batch1","Pools","AllZTs","Tech3","2.887036e+07","0.000000e+00","1.189550e+05","6.482708e+03","0.000000e+00","3.426315e+05","6.304579e+04","3.991802e+05","0.000000e+00","2.207496e+06","1.330249e+05","2.681305e+07","1.328404e+06","3.558617e+05","2.203990e+08","2.344667e+06","5.313890e+04","Rep1"
"Fourth_Wounded_LL_Day2_ZT8_49","Fourth","Wounded","LL","Day2","ZT8","49","5.046695e+07","0.000000e+00","1.892100e+05","0.000000e+00","6.650112e+03","2.628222e+05","3.813261e+04","1.323827e+06","0.000000e+00","2.633483e+06","1.963501e+05","4.904315e+07","4.003758e+05","4.107287e+05","3.329817e+08","2.714814e+06","5.325507e+04","Rep1"
"Fourth_Wounded_LL_Day2_ZT20_68","Fourth","Wounded","LL","Day2","ZT20","68","112503040.00","        0.00","   480513.50","        0.00","        0.00","   300449.47","    36562.69","  2458868.25","        0.00","  5243186.00","   176010.62"," 85506912.00","   575984.62","   412755.22","487215232.00","  6517497.00","   177632.73","Rep1"
"Fourth_Wounded_LL_Day2_ZT16_61","Fourth","Wounded","LL","Day2","ZT16","61"," 97437144.00","    65805.75","   518230.31","        0.00","    20854.54","   671893.31","   143145.02","  2670326.00","        0.00","  7158942.00","   264287.06"," 78270944.00","   884392.19","   479477.91","351896992.00","  5809151.50","   272345.16","Rep1"
"Fourth_Wounded_LL_Day2_ZT12_55","Fourth","Wounded","LL","Day2","ZT12","55"," 48865992.00","        0.00","   130751.96","        0.00","        0.00","   233453.98","    13121.30","  1702191.00","    12567.80","  3310095.50","   186396.30"," 60916492.00","   384153.59","   485986.28","453801728.00","  4908523.50","    62912.07","Rep1"
"Sixteenth_Initial_LD_Day1_ZT0_79","Sixteenth","Initial","LD","Day1","ZT0","79","        0.00","        0.00","        0.00","        0.00","        0.00","        0.00","        0.00","    26452.59","        0.00","  3278516.25","   443353.56","   648252.38","  2249226.00","    81402.34","413032096.00","  1556362.12","        0.00","Rep1"
"Sixteenth_Initial_LD_Day1_ZT16_105","Sixteenth","Initial","LD","Day1","ZT16","105"," 25878484.00","        0.00","    72431.97","    11458.83","    24143.17","   999927.00","   102838.68","   234335.33","        0.00","  4275434.00","   182856.28"," 25329420.00","  1207550.88","  2454889.50","411075936.00","  4644531.00","    53505.05","Rep1"
"Sixteenth_Initial_LD_Day1_ZT4_85","Sixteenth","Initial","LD","Day1","ZT4","85","2.082366e+07","0.000000e+00","4.640172e+04","8.436271e+03","0.000000e+00","5.097600e+05","1.454321e+05","2.753097e+05","0.000000e+00","1.919478e+06","2.870928e+05","1.419141e+07","2.713874e+06","8.872904e+05","4.954350e+08","2.298783e+06","6.418774e+04","Rep1"
"Sixteenth_Initial_LD_Day2_ZT4_125","Sixteenth","Initial","LD","Day2","ZT4","125","2.265840e+07","0.000000e+00","1.610047e+05","6.109256e+03","0.000000e+00","2.411821e+05","1.204002e+05","2.770778e+05","0.000000e+00","2.132977e+06","3.199374e+05","1.387167e+07","2.432778e+05","9.362637e+05","4.288057e+08","2.878172e+06","5.886146e+04","Rep1"
"Sixteenth_Initial_LD_Day2_ZT8_127","Sixteenth","Initial","LD","Day2","ZT8","127"," 16911058.00","        0.00","    98207.34","        0.00","        0.00","   533827.50","    70821.34","   203347.44","    24602.99","  1481078.75","   163757.42"," 13442926.00","  1818922.88","  1169694.75","470952160.00","  2589403.00","    44553.22","Rep1"
"Sixteenth_Initial_LD_Day2_ZT20_146","Sixteenth","Initial","LD","Day2","ZT20","146","5.211885e+07","0.000000e+00","3.187600e+05","7.129554e+03","0.000000e+00","7.094040e+05","2.158198e+05","6.963126e+05","0.000000e+00","5.923582e+06","2.734400e+05","2.152815e+07","2.558559e+06","3.229821e+06","3.644168e+08","3.229821e+06","1.375432e+05","Rep1"
"Sixteenth_Initial_LD_Day2_ZT16_139","Sixteenth","Initial","LD","Day2","ZT16","139","  9360181.00","        0.00","    24023.98","        0.00","        0.00","   340618.31","    65047.60","   146217.81","    15345.17","  2673045.25","   208042.70"," 21218620.00","  1569350.25","   733459.62","479137504.00","  2773679.25","    28493.04","Rep1"
"Sixteenth_Initial_LD_Day2_ZT12_133","Sixteenth","Initial","LD","Day2","ZT12","133"," 49077436.00","        0.00","   102774.77","    10580.14","        0.00","  1159964.75","   108437.75","   663654.25","        0.00","  5393656.00","   131188.20"," 37397948.00","   433324.50","  2734644.75","463014816.00","  2948015.50","    72363.25","Rep1"
"Sixteenth_Initial_LD_Day1_ZT8_92","Sixteenth","Initial","LD","Day1","ZT8","92","1.527001e+07","0.000000e+00","5.292241e+04","7.894237e+03","0.000000e+00","4.544090e+05","8.958944e+04","5.498051e+05","0.000000e+00","3.127533e+06","1.774720e+05","1.605301e+07","1.870447e+06","1.104588e+06","4.238296e+08","3.401034e+06","4.658377e+04","Rep1"
"Sixteenth_Initial_LD_Day2_ZT0_115","Sixteenth","Initial","LD","Day2","ZT0","115"," 20783586.00","        0.00","    68460.72","        0.00","        0.00","   386159.44","    98510.25","   291384.31","        0.00","  2769894.75","   145925.84"," 24469154.00","  1703127.50","  1383904.62","388346496.00","  2871403.00","    62406.82","Rep1"
"Sixteenth_Initial_LD_Day1_ZT12_98","Sixteenth","Initial","LD","Day1","ZT12","98","  8594832.00","        0.00","    26672.75","        0.00","    30865.39","   404325.94","    32624.79","   387167.66","        0.00","  2145728.00","   123998.65"," 20122694.00","  3331522.50","   370114.19","445044800.00","  2500408.50","    22221.00","Rep1"
"Sixteenth_Initial_LD_Day1_ZT20_112","Sixteenth","Initial","LD","Day1","ZT20","112"," 15996232.00","        0.00","    58316.84","        0.00","        0.00","   477333.19","    37480.77","   289884.75","        0.00","  3011801.00","    87489.16","  6353910.00","   489905.09","  1586043.62","447516704.00","  3201205.00","    62555.32","Rep1"
"Sixteenth_Initial_LL_Day1_ZT12_409","Sixteenth","Initial","LL","Day1","ZT12","409"," 12504898.00","        0.00","    45028.63","        0.00","        0.00","    36687.36","        0.00","   364177.53","        0.00","   843250.88","    38344.77"," 20054910.00","   115071.89","   248717.95","469056224.00","  2572567.25","    23789.41","Rep1"
"Sixteenth_Initial_LD_Day3_ZT0_152","Sixteenth","Initial","LD","Day3","ZT0","152"," 26158436.00","        0.00","   170881.89","        0.00","        0.00","   214104.28","    66149.08","   188960.22","        0.00","  2220792.50","   131357.64"," 17145910.00","  1053033.00","  1187700.38","481118976.00","  3297876.75","    77652.14","Rep1"
"Sixteenth_Initial_LL_Pools_AllZTs_AllcircadianTech2","Sixteenth","Initial","LL","Pools","AllZTs","AllcircadianTech2"," 21801740.00","        0.00","    86208.15","        0.00","        0.00","   144215.98","    17551.96","   364613.72","        0.00","  1191582.50","    45334.91"," 33865140.00","   296474.00","   221887.19","447780352.00","  2188216.25","    46882.38","Rep1"
"Sixteenth_Initial_LL_Day2_ZT0_427","Sixteenth","Initial","LL","Day2","ZT0","427"," 48052136.00","        0.00","   235184.77","        0.00","        0.00","    39007.89","    26065.58","   194438.86","        0.00","  1229093.00","    49949.19"," 59267612.00","   699485.38","   443823.59","417805152.00","  3541505.00","    76012.00","Rep1"
"Sixteenth_Initial_LL_Day1_ZT8_403","Sixteenth","Initial","LL","Day1","ZT8","403","15933600.00","       0.00","   51151.27","       0.00","       0.00","   30273.15","   10372.61","  364581.97","       0.00"," 2350910.25","   45056.41","30615868.00","  454714.16","  298352.19","52228308.00"," 1826932.75","   28140.84","Rep1"
"Sixteenth_Initial_LL_Day1_ZT20_421","Sixteenth","Initial","LL","Day1","ZT20","421"," 42681700.00","        0.00","   130407.34","        0.00","        0.00","   922704.25","    54673.00","   960576.31","    30629.67","  2173456.00","   128667.05"," 47695376.00","   590354.25","   366616.81","547175104.00","  2572994.25","    71676.15","Rep1"
"Sixteenth_Initial_LL_Day1_ZT16_415","Sixteenth","Initial","LL","Day1","ZT16","415"," 46887516.00","        0.00","   471137.97","        0.00","        0.00","    71306.23","    37189.85","   234676.16","        0.00","  2414708.25","    49252.41"," 51986924.00","  2306666.50","   318795.44","438956992.00","  2937852.25","    91457.65","Rep1"
