bra,agi,Tair10_desc
Bo4g155990,AT2G24250,F-box family protein
Bo4g154630,AT2G24460,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: pollen tube; BEST Arabidopsis thaliana protein match is: zinc finger (C3HC4-type RING finger) family protein (TAIR:AT2G24480.1); Has 12 Blast hits to 12 proteins in 1 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 12; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).
Bo4g157210,AT2G25470,AtRLP21 (Receptor Like Protein 21); protein binding
Bo4g157370,AT2G25440,AtRLP20 (Receptor Like Protein 20); kinase/ protein binding
Bo4g173490,AT2G30830,2-oxoglutarate-dependent dioxygenase putative
Bo4g183420,AT2G35620,FEI2 (FEI 2); kinase
Bo4g183480,AT2G35650,ATCSLA07 (CELLULOSE SYNTHASE LIKE); mannan synthase/ transferase transferring glycosyl groups
Bo4g199760,AT2G47710,universal stress protein (USP) family protein
Bo5g034390,AT1G21500,unknown protein
Bo5g117280,AT3G18660,PGSIP1 (PLANT GLYCOGENIN-LIKE STARCH INITIATION PROTEIN 1); transferase transferring glycosyl groups
Bo5g121350,AT3G18020,pentatricopeptide (PPR) repeat-containing protein
Bo5g122990,AT3G17480,F-box family protein
Bo5g134980,AT3G11960,cleavage and polyadenylation specificity factor (CPSF) A subunit C-terminal domain-containing protein
Bo6g012370,AT1G71950,identical protein binding / serine-type endopeptidase
Bo6g047150,AT3G62930,glutaredoxin family protein
Bo6g061660,AT5G41410,BEL1 (BELL 1); DNA binding / protein binding / transcription factor
Bo7g005680,AT2G19520,FVE; metal ion binding
Bo7g016240,AT2G16120,mannitol transporter putative
Bo7g104520,AT4G16540,heat shock protein-related
Bo8g050020,AT4G18250,receptor serine/threonine kinase putative
Bo8g061270,AT1G11680,CYP51G1 (CYTOCHROME P450 51G1); oxygen binding / sterol 14-demethylase
Bo8g077080,AT3G48560,CSR1 (CHLORSULFURON/IMIDAZOLINONE RESISTANT 1); acetolactate synthase/ pyruvate decarboxylase
Bo8g104790,AT1G17600,disease resistance protein (TIR-NBS-LRR class) putative
Bo8g105160,AT1G17060,CYP72C1 (CYTOCHROME P450 72C1); electron carrier/ heme binding / iron ion binding / monooxygenase/ oxygen binding
Bo8g107680,AT1G13790,XH/XS domain-containing protein / XS zinc finger domain-containing protein
Bo8g114200,AT1G07240,UGT71C5 (UDP-GLUCOSYL TRANSFERASE 71C5); UDP-glycosyltransferase/ quercetin 3-O-glucosyltransferase/ transferase transferring glycosyl groups
Bo7g088840,AT3G32930,unknown protein
Bo9g035220,AT1G64680,unknown protein
Bo9g046550,AT1G59670,ATGSTU15 (GLUTATHIONE S-TRANSFERASE TAU 15); glutathione transferase
Bo9g050960,AT1G58320,unknown protein
Bo9g059050,AT5G43340,PHT6; carbohydrate transmembrane transporter/ inorganic phosphate transmembrane transporter/ phosphate transmembrane transporter/ sugar:hydrogen symporter
Bo9g154020,AT5G19100,extracellular dermal glycoprotein-related / EDGP-related
Bo9g157490,AT5G18090,transcriptional factor B3 family protein
Bo9g172100,AT5G10450,GRF6 (G-box regulating factor 6); protein binding / protein phosphorylated amino acid binding
Bo00578s210,AT5G39450,F-box family protein
Bo5g154000,AT3G01670,unknown protein
Bo1g001020,AT4G38250,amino acid transporter family protein
Bo1g002690,AT4G39620,EMB2453 (embryo defective 2453)
Bo1g003280,AT4G37940,AGL21; transcription factor
Bo1g005130,AT4G37100,catalytic/ pyridoxal phosphate binding
Bo1g005900,AT4G36140,disease resistance protein (TIR-NBS-LRR class) putative
Bo1g006360,AT4G35570,HMGB5 (HIGH MOBILITY GROUP B 5); DNA binding / chromatin binding / structural constituent of chromatin / transcription factor
Bo1g006590,AT4G35280,zinc finger (C2H2 type) family protein
Bo1g006710,AT4G35120,kelch repeat-containing F-box family protein
Bo1g007020,AT4G34710,ADC2 (ARGININE DECARBOXYLASE 2); arginine decarboxylase
Bo1g008080,AT4G33500,protein phosphatase 2C-related / PP2C-related
Bo1g008780,AT4G32890,zinc finger (GATA type) family protein
Bo1g008560,AT4G32980,ATH1 (ARABIDOPSIS THALIANA HOMEOBOX GENE 1); DNA binding / sequence-specific DNA binding / transcription factor
Bo1g008630,AT4G32920,glycine-rich protein
Bo1g010140,AT4G32670,zinc ion binding
Bo1g012100,AT4G30520,leucine-rich repeat family protein / protein kinase family protein
Bo1g016260,AT4G29540,bacterial transferase hexapeptide repeat-containing protein
Bo1g016280,AT4G29550,unknown protein
Bo1g016600,AT4G29260,acid phosphatase class B family protein
Bo1g017810,AT4G17750,HSF1 (HEAT SHOCK FACTOR 1); DNA binding / protein binding / transcription factor
Bo1g021400,AT4G19250,kelch repeat-containing protein
Bo1g022660,AT4G20970,basic helix-loop-helix (bHLH) family protein
Bo1g025910,AT4G22080,pectate lyase family protein
Bo1g037770,AT4G24265,unknown protein
Bo1g037780,AT4G24270,RNA recognition motif (RRM)-containing protein
Bo1g039550,AT4G25030,unknown protein
Bo1g040750,AT4G26000,PEP (PEPPER); RNA binding / nucleic acid binding
Bo1g044200,AT4G26420,GAMT1; S-adenosylmethionine-dependent methyltransferase/ gibberellin carboxyl-O-methyltransferase
Bo1g046550,AT4G26680,pentatricopeptide (PPR) repeat-containing protein
Bo1g053170,AT4G17200,F-box family protein
Bo1g053310,AT4G16730,lyase/ magnesium ion binding
Bo1g053650,AT4G16500,cysteine protease inhibitor family protein / cystatin family protein
Bo1g056690,AT4G15530,PPDK (pyruvate orthophosphate dikinase); kinase/ pyruvate phosphate dikinase
Bo1g057710,AT4G14680,APS3; sulfate adenylyltransferase (ATP)
Bo1g063950,AT3G44900,ATCHX4 (CATION/H+ EXCHANGER 4); monovalent cation:proton antiporter/ sodium:hydrogen antiporter
Bo1g066240,AT3G45650,NAXT1 (NITRATE EXCRETION TRANSPORTER1); nitrate efflux transmembrane transporter/ transporter
Bo1g078280,AT3G48610,phosphoesterase family protein
Bo1g078430,AT3G48820,glycosyl transferase family 29 protein / sialyltransferase family protein
Bo1g078420,AT3G48810,pentatricopeptide (PPR) repeat-containing protein
Bo1g078790,AT3G49220,pectinesterase family protein
Bo1g087890,AT1G58210,EMB1674 (EMBRYO DEFECTIVE 1674)
Bo1g091650,AT1G60070,binding / clathrin binding / protein binding / protein transporter
Bo1g098640,AT1G61810,BGLU45 (BETA-GLUCOSIDASE 45); catalytic/ cation binding / hydrolase hydrolyzing O-glycosyl compounds
Bo1g101150,AT3G24260,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; CONTAINS InterPro DOMAIN/s: Histone deacetylase interacting (InterPro:IPR013194); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G28870.1); Has 139 Blast hits to 137 proteins in 48 species: Archae - 5; Bacteria - 3; Metazoa - 37; Fungi - 2; Plants - 50; Viruses - 0; Other Eukaryotes - 42 (source: NCBI BLink).
Bo1g101710,AT3G23590,RFR1 (REF4-related 1)
Bo1g105100,AT3G22425,IGPD; imidazoleglycerol-phosphate dehydratase
Bo1g107160,AT3G21290,dentin sialophosphoprotein-related
Bo1g110170,AT3G20010,SNF2 domain-containing protein / helicase domain-containing protein / RING finger domain-containing protein
Bo1g116000,AT3G18900,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; CONTAINS InterPro DOMAIN/s: F-box associated (InterPro:IPR006527) F-box associated type 1 (InterPro:IPR017451) Protein of unknown function DUF547 (InterPro:IPR006869); BEST Arabidopsis thaliana protein match is: F-box family protein (TAIR:AT3G18910.1); Has 812 Blast hits to 788 proteins in 57 species: Archae - 0; Bacteria - 47; Metazoa - 23; Fungi - 0; Plants - 717; Viruses - 0; Other Eukaryotes - 25 (source: NCBI BLink).
Bo1g116180,AT3G18790,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Isy1-like splicing (InterPro:IPR009360); Has 1075 Blast hits to 879 proteins in 176 species: Archae - 8; Bacteria - 11; Metazoa - 379; Fungi - 177; Plants - 27; Viruses - 9; Other Eukaryotes - 464 (source: NCBI BLink).
Bo1g118870,AT3G18190,chaperonin putative
Bo1g117770,AT3G18215,unknown protein
Bo1g119020,AT3G18030,ATHAL3A; FMN binding / phosphopantothenoylcysteine decarboxylase
Bo1g120490,AT3G17480,F-box family protein
Bo1g122660,AT3G17180,scpl33 (serine carboxypeptidase-like 33); serine-type carboxypeptidase
Bo1g122870,AT3G17060,pectinesterase family protein
Bo1g123550,AT3G16340,PDR1; ATPase coupled to transmembrane movement of substances
Bo1g124820,AT3G16000,MFP1 (MAR BINDING FILAMENT-LIKE PROTEIN 1); DNA binding
Bo1g138400,AT3G13380,BRL3 (BRI1-LIKE 3); ATP binding / protein binding / protein kinase/ protein serine/threonine kinase
Bo1g138880,AT3G12880,invertase/pectin methylesterase inhibitor family protein
Bo1g141540,AT3G10710,pectinesterase family protein
Bo1g143990,AT3G10350,anion-transporting ATPase family protein
Bo1g151730,AT3G05190,aminotransferase class IV family protein
Bo1g153290,AT3G03980,short-chain dehydrogenase/reductase (SDR) family protein
Bo1g153580,AT3G03760,LBD20 (LOB DOMAIN-CONTAINING PROTEIN 20)
Bo1g153610,AT3G03720,CAT4 (CATIONIC AMINO ACID TRANSPORTER 4); cationic amino acid transmembrane transporter
Bo1g156320,AT3G02760,ATP binding / aminoacyl-tRNA ligase/ histidine-tRNA ligase/ nucleotide binding
Bo1g158740,AT3G01230,unknown protein
Bo2g006640,AT5G04740,ACT domain-containing protein
Bo2g006730,AT5G04820,OFP13 (ARABIDOPSIS THALIANA OVATE FAMILY PROTEIN 13)
Bo2g009610,AT5G09920,NRPB4; DNA-directed RNA polymerase
Bo2g009880,AT5G10450,GRF6 (G-box regulating factor 6); protein binding / protein phosphorylated amino acid binding
Bo2g010690,AT5G11890,FUNCTIONS IN: molecular_function unknown; LOCATED IN: plasma membrane; EXPRESSED IN: 12 plant structures; EXPRESSED DURING: 6 growth stages; CONTAINS InterPro DOMAIN/s: Harpin-induced 1 (InterPro:IPR010847); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G17620.1); Has 455 Blast hits to 454 proteins in 19 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 453; Viruses - 0; Other Eukaryotes - 2 (source: NCBI BLink).
Bo2g012820,AT5G15860,ATPCME (PRENYLCYSTEINE METHYLESTERASE); prenylcysteine methylesterase
Bo2g013210,AT5G16620,TIC40
Bo2g013590,AT5G17330,GAD; calmodulin binding / glutamate decarboxylase
Bo2g020760,AT5G20280,ATSPS1F (sucrose phosphate synthase 1F); sucrose-phosphate synthase/ transferase transferring glycosyl groups
Bo2g021900,AT5G20540,ATBRXL4 (BREVIS RADIX-LIKE 4)
Bo2g021950,AT5G20630,GER3 (GERMIN 3); oxalate oxidase
Bo2g023910,AT5G22420,FAR7 (FATTY ACID REDUCTASE 7); binding / catalytic/ oxidoreductase acting on the CH-CH group of donors
Bo2g024100,AT5G22590,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; CONTAINS InterPro DOMAIN/s: Leucine-rich repeat 2 (InterPro:IPR013101); BEST Arabidopsis thaliana protein match is: F-box family protein (TAIR:AT5G22730.1); Has 308 Blast hits to 302 proteins in 6 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 308; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).
Bo2g024340,AT5G22791,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; CONTAINS InterPro DOMAIN/s: Cyclin-like F-box (InterPro:IPR001810) F-box associated type 3 (InterPro:IPR013187) F-box associated type 1 (InterPro:IPR017451); BEST Arabidopsis thaliana protein match is: F-box family protein (TAIR:AT1G30790.1).
Bo2g024860,AT5G60450,ARF4 (AUXIN RESPONSE FACTOR 4); transcription factor
Bo2g025490,AT5G59740,UDP-galactose/UDP-glucose transporter-related
Bo2g028630,AT5G58360,ATOFP3
Bo2g034330,AT5G56325,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; CONTAINS InterPro DOMAIN/s: FBD (InterPro:IPR013596) FBD-like (InterPro:IPR006566); BEST Arabidopsis thaliana protein match is: F-box family protein (TAIR:AT5G56390.1); Has 375 Blast hits to 366 proteins in 5 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 375; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).
Bo2g041320,AT5G54550,unknown protein
Bo2g041880,AT5G54160,ATOMT1 (O-METHYLTRANSFERASE 1); caffeate O-methyltransferase/ myricetin 3'-O-methyltransferase/ quercetin 3-O-methyltransferase
Bo2g045980,AT5G53230,unknown protein
Bo2g047380,AT5G52882,ATP binding / nucleoside-triphosphatase/ nucleotide binding
Bo2g047800,AT5G52420,unknown protein
Bo2g048160,AT5G51990,CBF4 (C- REPEAT-BINDING FACTOR 4); DNA binding / transcription activator/ transcription factor
Bo2g050970,AT1G64970,G-TMT (GAMMA-TOCOPHEROL METHYLTRANSFERASE); tocopherol O-methyltransferase
Bo2g052650,AT1G65970,TPX2 (thioredoxin-dependent peroxidase 2); antioxidant/ oxidoreductase
Bo2g051400,AT1G65610,KOR2; catalytic/ hydrolase hydrolyzing O-glycosyl compounds
Bo2g056260,AT1G67830,ATFXG1 (alpha-fucosidase 1); alpha-L-fucosidase/ carboxylesterase
Bo2g057620,AT1G68150,WRKY9; transcription factor
Bo2g057680,AT1G68230,reticulon family protein (RTNLB14)
Bo2g062480,AT1G68930,pentatricopeptide (PPR) repeat-containing protein
Bo2g068240,AT1G70510,KNAT2 (KNOTTED-LIKE FROM ARABIDOPSIS THALIANA 2); transcription factor
Bo2g068330,AT1G70570,anthranilate phosphoribosyltransferase putative
Bo2g070810,AT1G71120,GLIP6; carboxylesterase/ lipase
Bo2g073000,AT1G71692,AGL12 (AGAMOUS-LIKE 12); transcription factor
Bo2g075150,AT1G71960,ABC transporter family protein
Bo2g075580,AT1G72290,trypsin and protease inhibitor family protein / Kunitz family protein
Bo2g075700,AT1G72390,unknown protein
Bo2g080930,AT1G74110,CYP78A10; electron carrier/ heme binding / iron ion binding / monooxygenase/ oxygen binding
Bo2g080980,AT1G74170,AtRLP13 (Receptor Like Protein 13); protein binding
Bo2g092580,AT1G77520,O-methyltransferase family 2 protein
Bo2g096060,AT1G80350,ERH3 (ECTOPIC ROOT HAIR 3); ATP binding / nucleoside-triphosphatase/ nucleotide binding
Bo2g097600,AT4G00300,fringe-related protein
Bo2g100450,AT4G02390,APP (ARABIDOPSIS POLY(ADP-RIBOSE) POLYMERASE); NAD+ ADP-ribosyltransferase/ nucleic acid binding
Bo2g104590,AT4G04620,ATG8B (autophagy 8b); microtubule binding
Bo2g105070,AT4G12360,protease inhibitor/seed storage/lipid transfer protein (LTP) family protein
Bo2g106410,AT4G12090,cornichon family protein
Bo2g106440,AT4G12080,DNA-binding family protein
Bo2g110700,AT4G10010,protein kinase family protein
Bo2g120860,AT5G44120,CRA1 (CRUCIFERINA); nutrient reservoir
Bo2g120870,AT5G44160,NUC (nutcracker); nucleic acid binding / transcription factor/ zinc ion binding
Bo2g125780,AT5G45105,ZIP8 (ZINC TRANSPORTER 8 PRECURSOR); cation transmembrane transporter
Bo2g126980,AT5G45200,disease resistance protein (TIR-NBS-LRR class) putative
Bo2g129870,AT5G46220,unknown protein
Bo2g129910,AT5G46280,DNA replication licensing factor putative
Bo2g130260,AT5G46600,unknown protein
Bo2g134420,AT2G01600,epsin N-terminal homology (ENTH) domain-containing protein
Bo2g134580,AT2G01810,PHD finger family protein
Bo2g134760,AT2G01910,ATMAP65-6; microtubule binding
Bo2g136420,AT2G02570,nucleic acid binding
Bo2g140290,AT3G27027,unknown protein
Bo2g145030,AT3G27880,unknown protein
Bo2g145050,AT3G27930,unknown protein
Bo2g146050,AT3G27950,early nodule-specific protein putative
Bo2g147720,AT3G29160,AKIN11 (Arabidopsis SNF1 kinase homolog 11); protein binding / protein kinase
Bo2g149790,AT5G48230,ACAT2 (ACETOACETYL-COA THIOLASE 2); acetyl-CoA C-acetyltransferase/ catalytic
Bo2g150070,AT5G49140,disease resistance protein (TIR-NBS-LRR class) putative
Bo2g150160,AT5G48630,cyclin family protein
Bo2g150310,AT5G48900,pectate lyase family protein
Bo2g151730,AT5G49530,SIN-like family protein
Bo2g155280,AT5G27460,pentatricopeptide (PPR) repeat-containing protein
Bo2g155870,AT5G25980,TGG2 (GLUCOSIDE GLUCOHYDROLASE 2); hydrolase hydrolyzing O-glycosyl compounds / thioglucosidase
Bo2g156230,AT5G26742,emb1138 (embryo defective 1138); ATP binding / ATP-dependent helicase/ RNA binding / helicase/ nucleic acid binding / zinc ion binding
Bo2g158880,AT5G25265,unknown protein
Bo2g159430,AT5G24450,unknown protein
Bo2g159520,AT5G24330,ATXR6; DNA binding / protein binding
Bo2g161090,AT5G23010,MAM1 (METHYLTHIOALKYLMALATE SYNTHASE 1); 2-isopropylmalate synthase/ methylthioalkylmalate synthase
Bo2g161110,AT5G60810,unknown protein
Bo2g161700,AT5G61940,ubiquitin carboxyl-terminal hydrolase-related
Bo2g165670,AT5G62970,F-box family protein
Bo2g167760,AT5G66740,unknown protein
Bo2g168110,AT5G67550,unknown protein
Bo3g003370,AT5G05560,EMB2771 (EMBRYO DEFECTIVE 2771); ubiquitin-protein ligase
Bo3g003530,AT5G05860,UGT76C2; UDP-glycosyltransferase/ cis-zeatin O-beta-D-glucosyltransferase/ cytokinin 7-beta-glucosyltransferase/ cytokinin 9-beta-glucosyltransferase/ trans-zeatin O-beta-D-glucosyltransferase/ transferase transferring glycosyl groups
Bo3g004930,AT5G08450,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Histone deacetylation protein Rxt3 (InterPro:IPR013951); Has 32702 Blast hits to 18312 proteins in 878 species: Archae - 45; Bacteria - 1760; Metazoa - 16233; Fungi - 3347; Plants - 1326; Viruses - 208; Other Eukaryotes - 9783 (source: NCBI BLink).
Bo3g005620,AT5G10450,GRF6 (G-box regulating factor 6); protein binding / protein phosphorylated amino acid binding
Bo3g006960,AT5G11250,disease resistance protein (TIR-NBS-LRR class) putative
Bo3g009470,AT5G13980,glycosyl hydrolase family 38 protein
Bo3g010690,AT5G15740,unknown protein
Bo3g010620,AT5G15830,AtbZIP3 (Arabidopsis thaliana basic leucine-zipper 3); DNA binding / transcription factor
Bo3g010800,AT5G15950,adenosylmethionine decarboxylase family protein
Bo3g012650,AT5G17540,transferase family protein
Bo3g012740,AT5G17730,AAA-type ATPase family protein
Bo3g013550,AT5G19140,AILP1
Bo3g013540,AT5G19150,carbohydrate kinase family
Bo3g014110,AT5G20260,catalytic
Bo3g017250,AT5G60740,ATPase coupled to transmembrane movement of substances
Bo3g017350,AT5G60480,AtHB26 (ARABIDOPSIS THALIANA HOMEOBOX PROTEIN 26); DNA binding / transcription factor
Bo3g017660,AT5G59920,ULI3; diacylglycerol binding / heme binding
Bo3g018760,AT5G58390,peroxidase putative
Bo3g019460,AT5G57090,EIR1 (ETHYLENE INSENSITIVE ROOT 1); auxin efflux transmembrane transporter/ auxin:hydrogen symporter/ transporter
Bo3g022010,AT5G54610,ANK (ankyrin); protein binding
Bo3g022140,AT5G54380,THE1 (THESEUS1); kinase/ protein kinase
Bo3g022700,AT5G53330,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Ubiquitin-associated/translation elongation factor EF1B N-terminal eukaryote (InterPro:IPR015940); Has 28 Blast hits to 28 proteins in 11 species: Archae - 0; Bacteria - 0; Metazoa - 11; Fungi - 2; Plants - 15; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).
Bo3g023790,AT5G51290,ceramide kinase-related
Bo3g025030,AT2G31150,ATP binding / ATPase coupled to transmembrane movement of ions phosphorylative mechanism
Bo3g026520,AT2G31990,exostosin family protein
Bo3g026850,AT2G32800,AP4.3A; ATP binding / protein kinase/ protein serine/threonine kinase/ protein tyrosine kinase
Bo3g028560,AT2G35800,mitochondrial substrate carrier family protein
Bo3g031750,AT2G37420,kinesin motor protein-related
Bo3g032250,AT2G38240,oxidoreductase 2OG-Fe(II) oxygenase family protein
Bo3g032560,AT2G38580,unknown protein
Bo3g035260,AT2G40900,nodulin MtN21 family protein
Bo3g035340,AT2G41090,calmodulin-like calcium-binding protein 22 kDa (CaBP-22)
Bo3g036330,AT2G43040,NPG1 (no pollen germination 1); calmodulin binding
Bo3g036620,AT2G43500,RWP-RK domain-containing protein
Bo3g037280,AT2G44440,emsy N terminus domain-containing protein / ENT domain-containing protein
Bo3g039750,AT2G47760,ALG3; alpha-13-mannosyltransferase/ catalytic
Bo3g041980,AT2G25290,binding
Bo3g042670,AT5G50030,invertase/pectin methylesterase inhibitor family protein
Bo3g024130,AT5G50760,auxin-responsive family protein
Bo3g044690,AT4G10380,NIP5;1; arsenite transmembrane transporter/ boron transporter/ water channel
Bo3g045570,AT4G12120,SEC1B; protein transporter
Bo3g045740,AT4G12470,protease inhibitor/seed storage/lipid transfer protein (LTP) family protein
Bo3g049920,AT4G03210,XTH9 (XYLOGLUCAN ENDOTRANSGLUCOSYLASE/HYDROLASE 9); hydrolase acting on glycosyl bonds / xyloglucan:xyloglucosyl transferase
Bo3g051070,AT4G03080,kelch repeat-containing serine/threonine phosphoesterase family protein
Bo3g052240,AT4G02850,phenazine biosynthesis PhzC/PhzF family protein
Bo3g052250,AT4G02840,small nuclear ribonucleoprotein D1 putative / snRNP core protein D1 putative / Sm protein D1 putative
Bo3g052330,AT4G02733,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; CONTAINS InterPro DOMAIN/s: Cyclin-like F-box (InterPro:IPR001810); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G02740.1); Has 156 Blast hits to 154 proteins in 41 species: Archae - 0; Bacteria - 0; Metazoa - 136; Fungi - 0; Plants - 18; Viruses - 0; Other Eukaryotes - 2 (source: NCBI BLink).
Bo3g052890,AT4G01990,pentatricopeptide (PPR) repeat-containing protein
Bo3g055250,AT3G01230,unknown protein
Bo3g055330,AT3G01085,protein kinase family protein
Bo3g055810,AT3G02770,dimethylmenaquinone methyltransferase family protein
Bo3g057070,AT3G03470,CYP89A9; electron carrier/ heme binding / iron ion binding / monooxygenase/ oxygen binding
Bo3g060770,AT3G06680,60S ribosomal protein L29 (RPL29B)
Bo3g061050,AT3G07160,ATGSL10 (glucan synthase-like 10); 13-beta-glucan synthase
Bo3g061140,AT3G07320,glycosyl hydrolase family 17 protein
Bo3g062070,AT3G09330,amino acid transporter family protein
Bo3g062240,AT3G09040,pentatricopeptide (PPR) repeat-containing protein
Bo3g062330,AT3G08900,RGP3 (REVERSIBLY GLYCOSYLATED POLYPEPTIDE 3); transferase transferring hexosyl groups
Bo3g064360,AT3G11620,unknown protein
Bo3g064370,AT3G11630,2-cys peroxiredoxin chloroplast (BAS1)
Bo3g065550,AT3G13460,ECT2; protein binding
Bo3g066600,AT3G15160,unknown protein
Bo3g068390,AT3G16390,NSP3 (NITRILE SPECIFIER PROTEIN 3)
Bo3g068750,AT3G17365,catalytic/ methyltransferase
Bo3g070250,AT3G17810,dihydroorotate dehydrogenase family protein / dihydroorotate oxidase family protein
Bo3g071560,AT3G18550,BRC1 (BRANCHED 1); transcription factor
Bo3g073430,AT3G19710,BCAT4 (BRANCHED-CHAIN AMINOTRANSFERASE4); catalytic/ methionine-oxo-acid transaminase
Bo3g076100,AT3G20560,ATPDIL5-3 (PDI-LIKE 5-3); protein disulfide isomerase
